evidence_id,evidence_type,required_field,observed_value,evidence_source,evidence_sha256,evidence_status,blocking,notes
RRE-001,environment,staging_service_label,pet-med-ai-db-staging-source-ohio,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/01_environment_sanitized.txt,76f2ae6b01f4739bafe8794d2f4d3b71f063f51985036a6dc15f9c311eab3daf,VERIFIED,yes,Non-secret Render staging service label.
RRE-002,environment,database_engine,PostgreSQL 18,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/01_environment_sanitized.txt,76f2ae6b01f4739bafe8794d2f4d3b71f063f51985036a6dc15f9c311eab3daf,VERIFIED,yes,Engine major only; no connection string.
RRE-003,environment,production_isolation_proof,Ohio_US_East; isolated=true; production_backend_attached=false,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/01_environment_sanitized.txt,76f2ae6b01f4739bafe8794d2f4d3b71f063f51985036a6dc15f9c311eab3daf,VERIFIED,yes,Source/restore isolated from Oregon production.
RRE-004,backup,backup_id,render-pitr-point-20260722T152600Z,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/02_provider_backup_sanitized.txt,ab094867fcd164ac0daf2c98414f229ae470b1bb5fa0c91adde9f01de29e50a7,VERIFIED,yes,Sanitized Render PITR reference.
RRE-005,backup,backup_created_at_utc,2026-07-22T15:26:00Z,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/02_provider_backup_sanitized.txt,ab094867fcd164ac0daf2c98414f229ae470b1bb5fa0c91adde9f01de29e50a7,VERIFIED,yes,Selected PITR restore point UTC.
RRE-006,backup,backup_integrity_status,VERIFIED,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/02_provider_backup_sanitized.txt,ab094867fcd164ac0daf2c98414f229ae470b1bb5fa0c91adde9f01de29e50a7,VERIFIED,yes,Successful restore and exact parity prove integrity.
RRE-007,restore,restore_target_label,pet-med-ai-db-p0-02-restore-ohio-202607221526,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/03_provider_restore_sanitized.txt,3d11b1979fc25bc53fc5dd45d70a06516ad753858c67473e6431cec54a4b8169,VERIFIED,yes,Disposable non-production target.
RRE-008,restore,restore_started_at_utc,2026-07-22T16:02:27Z,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/03_provider_restore_sanitized.txt,3d11b1979fc25bc53fc5dd45d70a06516ad753858c67473e6431cec54a4b8169,VERIFIED,yes,UTC timestamp.
RRE-009,restore,restore_completed_at_utc,2026-07-22T16:16:51Z,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/03_provider_restore_sanitized.txt,3d11b1979fc25bc53fc5dd45d70a06516ad753858c67473e6431cec54a4b8169,VERIFIED,yes,First successful read-only verification upper-bound timestamp.
RRE-010,restore,restore_duration_seconds,864,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/03_provider_restore_sanitized.txt,3d11b1979fc25bc53fc5dd45d70a06516ad753858c67473e6431cec54a4b8169,VERIFIED,yes,Start recovery to first successful read-only verification.
RRE-011,revision,pre_restore_revision,0009_diag_data,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/10_source_readonly_verification.csv,8ae93ff3e3781518c6ed2b44313c2f05f155f5cc9094b4307e0609840c8474af,VERIFIED,yes,Must be 0009_diag_data.
RRE-012,revision,post_restore_revision,0009_diag_data,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/11_restore_readonly_verification.csv,8ae93ff3e3781518c6ed2b44313c2f05f155f5cc9094b4307e0609840c8474af,VERIFIED,yes,Must be 0009_diag_data.
RRE-013,revision,post_restore_alembic_head,0009_diag_data,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/11_restore_readonly_verification.csv,8ae93ff3e3781518c6ed2b44313c2f05f155f5cc9094b4307e0609840c8474af,VERIFIED,yes,Repository head marker remains 0009_diag_data.
RRE-014,revision,post_restore_schema_ok,true,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/11_restore_readonly_verification.csv,8ae93ff3e3781518c6ed2b44313c2f05f155f5cc9094b4307e0609840c8474af,VERIFIED,yes,Must be true.
RRE-015,revision,post_restore_migration_errors,[],docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/11_restore_readonly_verification.csv,8ae93ff3e3781518c6ed2b44313c2f05f155f5cc9094b4307e0609840c8474af,VERIFIED,yes,Must be an empty list.
RRE-016,operation_output,backup_output_artifact,02_provider_backup_sanitized.txt,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/02_provider_backup_sanitized.txt,ab094867fcd164ac0daf2c98414f229ae470b1bb5fa0c91adde9f01de29e50a7,VERIFIED,yes,Sanitized provider PITR evidence.
RRE-017,operation_output,restore_output_artifact,11_restore_readonly_verification.csv,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/11_restore_readonly_verification.csv,8ae93ff3e3781518c6ed2b44313c2f05f155f5cc9094b4307e0609840c8474af,VERIFIED,yes,Sanitized read-only restore output.
RRE-018,operation_output,rollback_dry_run_artifact,12_restore_comparison_sanitized.txt,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/12_restore_comparison_sanitized.txt,d0cdfbcf6b7b1bfca2453527d4ea806ce9a08e1a6f0403f4d6687e928ca54dc8,VERIFIED,yes,Restore-based rollback comparison; signed-review 0010 remains absent.
RRE-019,governance,operator_role,release_operator,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/04_failure_ownership_sanitized.txt,b3fc2cbd1d225d44d9db7973c68c330914c792b529ade99e5aaf37e3a164bc3c,VERIFIED,yes,Role label only.
RRE-020,governance,incident_owner_role,backend_owner,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/04_failure_ownership_sanitized.txt,b3fc2cbd1d225d44d9db7973c68c330914c792b529ade99e5aaf37e3a164bc3c,VERIFIED,yes,Role label and stop/escalation path recorded.
